Company Name,Industry,Symbol,Series,ISIN Code
AU Small Finance Bank Ltd.,Financial Services,NSE:AUBANK,EQ,INE949L01017
Axis Bank Ltd.,Financial Services,NSE:AXISBANK,EQ,INE238A01034
Bank of Baroda,Financial Services,NSE:BANKBARODA,EQ,INE028A01039
Canara Bank,Financial Services,NSE:CANBK,EQ,INE476A01022
Federal Bank Ltd.,Financial Services,NSE:FEDERALBNK,EQ,INE171A01029
HDFC Bank Ltd.,Financial Services,NSE:HDFCBANK,EQ,INE040A01034
ICICI Bank Ltd.,Financial Services,NSE:ICICIBANK,EQ,INE090A01021
IDFC First Bank Ltd.,Financial Services,NSE:IDFCFIRSTB,EQ,INE092T01019
IndusInd Bank Ltd.,Financial Services,NSE:INDUSINDBK,EQ,INE095A01012
Kotak Mahindra Bank Ltd.,Financial Services,NSE:KOTAKBANK,EQ,INE237A01028
Punjab National Bank,Financial Services,NSE:PNB,EQ,INE160A01022
State Bank of India,Financial Services,NSE:SBIN,EQ,INE062A01020
