Company Name,Industry,Symbol,Series,ISIN Code
Coforge Ltd.,Information Technology,NSE:COFORGE,EQ,INE591G01017
HCL Technologies Ltd.,Information Technology,NSE:HCLTECH,EQ,INE860A01027
Infosys Ltd.,Information Technology,NSE:INFY,EQ,INE009A01021
LTIMindtree Ltd.,Information Technology,NSE:LTIM,EQ,INE214T01019
MphasiS Ltd.,Information Technology,NSE:MPHASIS,EQ,INE356A01018
Oracle Financial Services Software Ltd.,Information Technology,NSE:OFSS,EQ,INE881D01027
Persistent Systems Ltd.,Information Technology,NSE:PERSISTENT,EQ,INE262H01021
Tata Consultancy Services Ltd.,Information Technology,NSE:TCS,EQ,INE467B01029
Tech Mahindra Ltd.,Information Technology,NSE:TECHM,EQ,INE669C01036
Wipro Ltd.,Information Technology,NSE:WIPRO,EQ,INE075A01022
