Company Name,Industry,Symbol,Series,ISIN Code
ABB India Ltd.,Capital Goods,NSE:ABB,EQ,INE117A01022
Adani Energy Solutions Ltd.,Power,NSE:ADANIENSOL,EQ,INE931S01010
Adani Green Energy Ltd.,Power,NSE:ADANIGREEN,EQ,INE364U01010
Adani Power Ltd.,Power,NSE:ADANIPOWER,EQ,INE814H01011
Ambuja Cements Ltd.,Construction Materials,NSE:AMBUJACEM,EQ,INE079A01024
Avenue Supermarts Ltd.,Consumer Services,NSE:DMART,EQ,INE192R01011
Bajaj Holdings & Investment Ltd.,Financial Services,NSE:BAJAJHLDNG,EQ,INE118A01012
Bajaj Housing Finance Ltd.,Financial Services,NSE:BAJAJHFL,EQ,INE377Y01014
Bank of Baroda,Financial Services,NSE:BANKBARODA,EQ,INE028A01039
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,NSE:BPCL,EQ,INE029A01011
Bosch Ltd.,Automobile and Auto Components,NSE:BOSCHLTD,EQ,INE323A01026
Britannia Industries Ltd.,Fast Moving Consumer Goods,NSE:BRITANNIA,EQ,INE216A01030
CG Power and Industrial Solutions Ltd.,Capital Goods,NSE:CGPOWER,EQ,INE067A01029
Canara Bank,Financial Services,NSE:CANBK,EQ,INE476A01022
Cholamandalam Investment and Finance Company Ltd.,Financial Services,NSE:CHOLAFIN,EQ,INE121A01024
DLF Ltd.,Realty,NSE:DLF,EQ,INE271C01023
Dabur India Ltd.,Fast Moving Consumer Goods,NSE:DABUR,EQ,INE016A01026
Divi's Laboratories Ltd.,Healthcare,NSE:DIVISLAB,EQ,INE361B01024
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,NSE:GAIL,EQ,INE129A01019
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,NSE:GODREJCP,EQ,INE102D01028
Havells India Ltd.,Consumer Durables,NSE:HAVELLS,EQ,INE176B01034
Hindustan Aeronautics Ltd.,Capital Goods,NSE:HAL,EQ,INE066F01020
Hyundai Motor India Ltd.,Automobile and Auto Components,NSE:HYUNDAI,EQ,INE0V6F01027
ICICI Lombard General Insurance Company Ltd.,Financial Services,NSE:ICICIGI,EQ,INE765G01017
ICICI Prudential Life Insurance Company Ltd.,Financial Services,NSE:ICICIPRULI,EQ,INE726G01019
Indian Hotels Co. Ltd.,Consumer Services,NSE:INDHOTEL,EQ,INE053A01029
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,NSE:IOC,EQ,INE242A01010
Indian Railway Finance Corporation Ltd.,Financial Services,NSE:IRFC,EQ,INE053F01010
Info Edge (India) Ltd.,Consumer Services,NSE:NAUKRI,EQ,INE663F01024
InterGlobe Aviation Ltd.,Services,NSE:INDIGO,EQ,INE646L01027
JSW Energy Ltd.,Power,NSE:JSWENERGY,EQ,INE121E01018
Jindal Steel & Power Ltd.,Metals & Mining,NSE:JINDALSTEL,EQ,INE749A01030
LTIMindtree Ltd.,Information Technology,NSE:LTIM,EQ,INE214T01019
Life Insurance Corporation of India,Financial Services,NSE:LICI,EQ,INE0J1Y01017
Macrotech Developers Ltd.,Realty,NSE:LODHA,EQ,INE670K01029
Pidilite Industries Ltd.,Chemicals,NSE:PIDILITIND,EQ,INE318A01026
Power Finance Corporation Ltd.,Financial Services,NSE:PFC,EQ,INE134E01011
Punjab National Bank,Financial Services,NSE:PNB,EQ,INE160A01022
REC Ltd.,Financial Services,NSE:RECLTD,EQ,INE020B01018
Samvardhana Motherson International Ltd.,Automobile and Auto Components,NSE:MOTHERSON,EQ,INE775A01035
Shree Cement Ltd.,Construction Materials,NSE:SHREECEM,EQ,INE070A01015
Siemens Ltd.,Capital Goods,NSE:SIEMENS,EQ,INE003A01024
Swiggy Ltd.,Consumer Services,NSE:SWIGGY,EQ,INE00H001014
TVS Motor Company Ltd.,Automobile and Auto Components,NSE:TVSMOTOR,EQ,INE494B01023
Tata Power Co. Ltd.,Power,NSE:TATAPOWER,EQ,INE245A01021
Torrent Pharmaceuticals Ltd.,Healthcare,NSE:TORNTPHARM,EQ,INE685A01028
United Spirits Ltd.,Fast Moving Consumer Goods,NSE:UNITDSPR,EQ,INE854D01024
Varun Beverages Ltd.,Fast Moving Consumer Goods,NSE:VBL,EQ,INE200M01039
Vedanta Ltd.,Metals & Mining,NSE:VEDL,EQ,INE205A01025
Zydus Lifesciences Ltd.,Healthcare,NSE:ZYDUSLIFE,EQ,INE010B01027
